disp_x,disp_y,disp_z,eta,id,temperature,x,y,z
-0.00031669053589429,0.0014537248961595,0.00038794677614222,1,0,885.69646168776,1.0914,0.5215,1.76
-0.00030198799969464,0.0014608569360476,0.00038811928198932,1,0.0058571771207723,885.71742281224,1.0966848484848,0.52402525252525,1.76
-0.00028728480160888,0.0014679892969819,0.00038828479687726,1,0.011714354241545,885.73838393671,1.1019696969697,0.52655050505051,1.76
-0.00027258093478349,0.0014751219854786,0.00038844329374394,1,0.017571531362317,885.75934506119,1.1072545454545,0.52907575757576,1.76
-0.0002578763638628,0.0014822550295168,0.00038859458105168,1,0.02342870848309,885.78030618567,1.1125393939394,0.53160101010101,1.76
-0.00024317101881361,0.0014893884248067,0.00038873896029624,1,0.029285885603862,885.80126731014,1.1178242424242,0.53412626262626,1.76
-0.00022846495945796,0.0014965221182321,0.0003888769810887,0.97107923562529,0.035143062724634,885.82222843462,1.1231090909091,0.53665151515152,1.76
-0.00021375807712685,0.0015036561120996,0.00038900625708094,0.41996426189843,0.041000239845407,885.8431895591,1.1283939393939,0.53917676767677,1.76
-0.00019905069024938,0.0015107903944552,0.00038912917370971,0.0042317338931029,0.046857416966179,885.86415068357,1.1336787878788,0.54170202020202,1.76
-0.00018434263007108,0.0015179250157951,0.00038924474389952,0,0.052714594086952,885.88511180805,1.1389636363636,0.54422727272727,1.76
-0.00016963386360543,0.0015250599823752,0.00038935331136065,0,0.058571771207724,885.90607293253,1.1442484848485,0.54675252525253,1.76
-0.00015492436493132,0.0015321953027296,0.00038945490297059,0,0.064428948328496,885.927034057,1.1495333333333,0.54927777777778,1.76
-0.00014021411343936,0.001539330984722,0.0003895494605413,0,0.070286125449269,885.94799518148,1.1548181818182,0.55180303030303,1.76
-0.00012550306199751,0.0015464670497733,0.00038963661732618,0,0.076143302570041,885.96895630596,1.160103030303,0.55432828282828,1.76
-0.00011079126071388,0.0015536034732738,0.00038971686814233,0,0.082000479690813,885.98991743043,1.1653878787879,0.55685353535354,1.76
-9.6078710190547e-05,0.0015607402545934,0.00038979023181483,0,0.087857656811586,886.01087855491,1.1706727272727,0.55937878787879,1.76
-8.1364510202008e-05,0.0015678778229358,0.00038984848737854,0,0.093714833932358,886.03183967939,1.1759575757576,0.56190404040404,1.76
-6.6649428671002e-05,0.001575015811823,0.00038989867850055,0,0.099572011053131,886.05280080386,1.1812424242424,0.56442929292929,1.76
-5.1934347141152e-05,0.0015821538007126,0.00038994886962257,0,0.1054291881739,886.07376192834,1.1865272727273,0.56695454545455,1.76
-3.7219265612445e-05,0.0015892917896045,0.00038999906074458,0,0.11128636529468,886.09472305282,1.1918121212121,0.5694797979798,1.76
-2.2504184084863e-05,0.0015964297784989,0.00039004925186659,0,0.11714354241545,886.11568417729,1.197096969697,0.57200505050505,1.76
-7.7861845950088e-06,0.0016035691585587,0.00039007247247687,0,0.12300071953622,886.13664530177,1.2023818181818,0.5745303030303,1.76
6.932445056523e-06,0.0016107088390562,0.00039008986854071,0,0.12885789665699,886.15760642625,1.2076666666667,0.57705555555556,1.76
2.1651074706943e-05,0.0016178485195561,0.00039010726460456,0,0.13471507377777,886.17856755072,1.2129515151515,0.57958080808081,1.76
3.6369704356269e-05,0.0016249882000582,0.0003901246606684,0,0.14057225089854,886.1995286752,1.2182363636364,0.58210606060606,1.76
5.1088613024621e-05,0.00163212801355,0.00039013946432549,0,0.14642942801931,886.22048979968,1.2235212121212,0.58463131313131,1.76
6.5810735752412e-05,0.0016392693589393,0.00039012440579031,0,0.15228660514008,886.24145092415,1.2288060606061,0.58715656565657,1.76
8.0532858479124e-05,0.0016464107043309,0.00039010934725512,0,0.15814378226085,886.26241204863,1.2340909090909,0.58968181818182,1.76
9.5254981204771e-05,0.0016535520497248,0.00039009428871994,0,0.16400095938163,886.28337317311,1.2393757575758,0.59220707070707,1.76
0.00010997710392937,0.0016606933951208,0.00039007923018476,0,0.1698581365024,886.30433429758,1.2446606060606,0.59473232323232,1.76
0.00012470038718949,0.0016678352936168,0.00039005332863922,0,0.17571531362317,886.32529542206,1.2499454545455,0.59725757575758,1.76
